Voltage_0,Voltage_1
0.130479,0.928857
0.131123,0.92789
0.131123,0.929502
0.130479,0.933692
0.130801,0.940461
0.128867,0.939171
0.128545,0.947229
0.129834,0.956899
0.13338,0.965601
0.133057,0.972692
0.131768,0.977527
0.13209,0.979783
0.133702,0.979139
0.132735,0.986874
0.131446,0.973659
0.1279,0.967535
0.128222,0.959477
0.132735,0.952064
0.13209,0.944973
0.131446,0.94175
0.130801,0.927568
0.130801,0.926279
0.132413,0.925956
0.134346,0.926923
0.134024,0.931113
0.131123,0.935948
0.134669,0.943361
0.132413,0.955932
0.130156,0.962378
0.131446,0.971081
0.128545,0.978172
0.13209,0.983973
0.131768,0.987519
0.132413,0.987519
0.131768,0.978172
0.129834,0.969791
0.129512,0.963667
0.134669,0.955609
0.134024,0.947552
0.131446,0.940138
0.132413,0.935948
0.130801,0.933047
0.134669,0.939494
0.132413,0.937237
0.132735,0.942072
0.130156,0.949163
0.128545,0.957866
0.131446,0.968824
0.130801,0.971403
0.131446,0.977527
0.130801,0.98494
0.132735,0.98913
0.134991,0.99042
0.132413,0.988164
0.135313,0.985263
0.132735,0.978494
0.134669,0.971403
0.134024,0.965279
0.134346,0.958833
0.132413,0.95432
0.132735,0.95013
0.131768,0.949163
0.13209,0.949808
0.131768,0.946262
0.130479,0.948196
0.131768,0.954643
0.132735,0.961411
0.134669,0.969791
0.133702,0.977205
0.13209,0.983973
0.134346,0.98913
0.132413,0.996544
0.133702,0.994288
0.131446,0.993321
0.132413,0.987841
0.129512,0.982039
0.128222,0.973337
0.134024,0.966891
0.132413,0.951419
0.131446,0.940783
0.13209,0.935303
0.13338,0.931436
0.134346,0.930469
0.13338,0.931113
0.134024,0.934659
0.136603,0.939494
0.13209,0.955287
0.129189,0.957866
0.132735,0.967213
0.13209,0.974949
0.132413,0.982362
0.13209,0.986552
0.132735,0.988486
0.131446,0.977527
0.130156,0.973015
0.130156,0.966891
0.131768,0.95851
0.134991,0.949808
0.134024,0.94175
0.133057,0.935303
,
2,
100,100
20-10-23,20-10-23
06:49.1,06:49.1
Volts,Volts
Time,Time
1.00E-01,1.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.131446,0.931758
0.133057,0.934659
0.132735,0.938849
0.132413,0.944651
0.131768,0.951419
0.1279,0.959477
0.132413,0.967535
