Voltage_0,Voltage_1
0.166578,0.90984
0.167867,0.91113
0.16819,0.914675
0.168512,0.918221
0.170124,0.925312
0.168834,0.940783
0.168512,0.941428
0.168512,0.947552
0.167867,0.951742
0.167223,0.953031
0.16819,0.949485
0.168512,0.941428
0.167545,0.937882
0.169479,0.931436
0.171735,0.928213
0.167867,0.924345
0.169479,0.922411
0.168512,0.921444
0.168512,0.918865
0.167867,0.917898
0.166256,0.918543
0.166578,0.914675
0.167545,0.913064
0.169157,0.916931
0.167545,0.922088
0.169801,0.928857
0.168834,0.934981
0.170446,0.944328
0.168834,0.949808
0.169801,0.953998
0.168834,0.958833
0.168834,0.9598
0.169479,0.957543
0.166256,0.942717
0.166256,0.93627
0.171735,0.929824
0.170768,0.923378
0.169801,0.916609
0.168834,0.911452
0.168834,0.912741
0.169801,0.911452
0.169157,0.914998
0.166578,0.918543
0.169479,0.918865
0.168512,0.918221
0.168512,0.923378
0.170768,0.930146
0.169801,0.93627
0.169479,0.943039
0.169801,0.955609
0.170446,0.958833
0.171091,0.962056
0.170768,0.963667
0.170124,0.96399
0.169157,0.963345
0.168834,0.950775
0.169157,0.946585
0.170124,0.941105
0.170768,0.93337
0.170124,0.926923
0.168512,0.920799
0.170768,0.91951
0.168834,0.920155
0.169479,0.920799
0.169801,0.9237
0.168512,0.928535
0.16819,0.924667
0.168512,0.930791
0.171091,0.937882
0.170446,0.943684
0.172702,0.949163
0.171413,0.951419
0.170124,0.954643
0.1669,0.953353
0.167545,0.950452
0.169479,0.947229
0.170124,0.944006
0.168834,0.930791
0.169157,0.926923
0.170446,0.924345
0.171735,0.922733
0.170768,0.922733
0.170768,0.9237
0.171091,0.937882
0.170446,0.936915
0.167223,0.943361
0.169479,0.948518
0.169479,0.954643
0.168512,0.951097
0.169801,0.953031
0.172057,0.957866
0.173024,0.961411
0.17238,0.9627
0.171413,0.962056
0.171413,0.964312
0.170768,0.956899
0.172057,0.950452
0.169479,0.944328
0.170768,0.93756
0.170124,0.93208
,
2,
100,100
20-10-23,20-10-23
44:20.4,44:20.4
Volts,Volts
Time,Time
1.00E-01,1.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.168834,0.915964
0.169157,0.911774
0.172057,0.909518
0.170124,0.908873
0.168512,0.911452
0.171413,0.915964
0.171735,0.927568
0.173024,0.93627
0.172702,0.946585
0.171091,0.954965
0.171735,0.956254
0.169801,0.955287
0.171091,0.956576
0.17238,0.955932
0.173347,0.953031
0.172702,0.950452
0.171091,0.944973
0.170768,0.944328
0.171091,0.939494
0.170446,0.93627
0.171735,0.934337
0.171413,0.935303
0.169801,0.928857
0.166578,0.933692
0.172702,0.942717
0.172702,0.953998
0.171413,0.966568
0.173347,0.978494
0.17238,0.9988
0.172057,0.996544
0.173024,0.996544
0.174314,0.993321
0.171735,0.986552
0.172702,0.977527
0.173669,0.956254
0.172057,0.944973
0.173024,0.932725
0.173024,0.923378
0.173347,0.914998
0.173347,0.909518
0.173347,0.910485
0.172702,0.912419
0.170768,0.917576
0.171413,0.924989
0.170768,0.93337
0.17238,0.936915
0.170768,0.951742
0.174958,0.965279
0.175281,0.977527
0.175603,0.987841
0.174958,0.992676
0.174958,1.001056
0.173991,0.991064
0.173024,0.984618
0.176248,0.975271
0.174314,0.965279
0.173347,0.949485
0.173024,0.932725
0.173991,0.923378
0.176248,0.915964
0.174636,0.910807
0.174636,0.908229
0.176248,0.914675
0.174958,0.914998
0.17238,0.921444
0.174958,0.929824
0.175281,0.939494
0.174958,0.942717
0.174958,0.948196
0.177859,0.957221
0.178181,0.96399
0.179148,0.968824
0.177215,0.970436
0.178826,0.96818
0.179148,0.964957
0.179793,0.9598
0.176892,0.954965
0.176892,0.948196
0.177859,0.942394
0.177537,0.926601
0.179148,0.922088
0.178181,0.919188
0.181405,0.919188
0.182049,0.922733
0.179148,0.92789
0.179471,0.937237
0.179471,0.949485
0.177859,0.960767
0.178826,0.973337
0.179793,0.983651
0.180115,0.981717
0.179793,0.985907
0.177859,0.985907
0.183016,0.983651
0.181082,0.977849
0.184305,0.969791
0.18076,0.969469
0.181082,0.958833
0.181405,0.951419
0.180115,0.948518
,
2,
100,100
20-10-23,20-10-23
44:20.5,44:20.5
Volts,Volts
Time,Time
2.00E-01,2.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.179793,0.948518
0.18076,0.944973
0.180438,0.944006
0.182049,0.950452
0.183339,0.960122
0.182049,0.966891
0.181727,0.974304
0.181727,0.981073
0.182694,0.99461
0.182372,0.994288
0.180438,0.996544
0.183339,0.99461
0.183339,0.990742
0.182694,0.981073
0.181405,0.967213
0.181082,0.959155
0.183983,0.951097
0.183661,0.942394
0.182694,0.935303
0.182694,0.92789
0.181082,0.925312
0.181727,0.922733
0.181082,0.924022
0.18076,0.930146
0.181727,0.939494
0.181727,0.938849
0.179793,0.950452
0.182049,0.9627
0.183339,0.976238
0.183016,0.987841
0.182049,0.995577
0.182372,1.001379
0.183339,1.002023
0.181727,0.997833
0.182372,0.98913
0.182372,0.980106
0.181082,0.960122
0.181082,0.944006
0.182049,0.933047
0.183661,0.922088
0.182372,0.914031
0.181405,0.908873
0.181082,0.917898
0.182372,0.911452
0.178826,0.91532
0.181727,0.920155
0.181727,0.924989
0.180115,0.920155
0.179471,0.924345
0.182694,0.929824
0.185272,0.934014
0.184305,0.938204
0.182694,0.939494
0.183983,0.951419
0.18495,0.940783
0.179148,0.939494
0.182694,0.938849
0.182049,0.938527
0.18076,0.928857
0.180438,0.927246
0.182372,0.928535
0.183983,0.928535
0.182372,0.930469
0.183983,0.933692
0.181082,0.948841
0.182372,0.945295
0.179793,0.953031
0.181405,0.959477
0.181727,0.965601
0.181082,0.963345
0.18076,0.9627
0.181082,0.963345
0.18495,0.961089
0.184305,0.957866
0.183661,0.952709
0.182372,0.945295
0.182372,0.939816
0.182694,0.934337
0.181082,0.928213
0.181727,0.924022
0.182694,0.921444
0.181727,0.90984
0.182694,0.912097
0.183016,0.91532
0.18495,0.921444
0.183983,0.929179
0.183339,0.937882
0.183016,0.950775
0.181405,0.963023
0.181727,0.974626
0.182049,0.98494
0.183016,0.993643
0.182372,0.987841
0.181727,0.987519
0.181082,0.983651
0.185595,0.975271
0.183339,0.963023
0.181727,0.949485
0.182694,0.943361
0.183016,0.929179
,
2,
100,100
20-10-23,20-10-23
44:20.6,44:20.6
Volts,Volts
Time,Time
3.00E-01,3.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.182372,0.922733
0.180115,0.918543
0.179793,0.918221
0.179471,0.913708
0.179793,0.914031
0.182049,0.920155
0.183016,0.927246
0.182694,0.934659
0.182372,0.942072
