Voltage_0,Voltage_1
0.939816,0.897915
0.941428,0.89727
0.942394,0.902749
0.943361,0.895336
0.939816,0.88889
0.937237,0.877931
0.94175,0.860848
0.940138,0.843443
0.938527,0.825716
0.938527,0.817335
0.940783,0.821203
0.941105,0.832807
0.942717,0.854402
0.943361,0.883088
0.935948,0.91532
0.941428,0.952386
0.938849,1.001701
0.940138,1.055528
0.939171,1.114512
0.940461,1.160281
0.939816,1.190257
0.93627,1.202182
0.939494,1.199604
0.937237,1.190579
0.938204,1.172851
0.939171,1.132884
0.937237,1.077123
0.93756,1.023941
0.938204,0.978172
0.936593,0.960122
0.935948,0.962378
0.938204,0.975271
0.937882,0.989453
0.938849,0.99461
0.939494,0.97656
0.932725,0.945295
0.938204,0.917898
0.937237,0.902427
0.937882,0.885344
0.937237,0.876319
0.933692,0.868584
0.940461,0.86665
0.939171,0.867617
0.938204,0.871162
0.938849,0.864716
0.93627,0.869873
0.936915,0.871162
0.939494,0.868584
0.939171,0.861815
0.938204,0.854724
0.940138,0.846666
0.938204,0.842798
0.939816,0.841832
0.940783,0.849245
0.939816,0.868906
0.939494,0.897592
0.938204,0.934014
0.938849,0.976238
0.939171,1.019106
0.939171,1.066487
0.940461,1.09614
0.941428,1.110966
0.940783,1.127727
0.94175,1.154157
0.943361,1.186066
0.941105,1.21024
0.943684,1.197025
0.945618,1.140942
0.943361,1.063908
0.943361,0.997833
0.944006,0.955287
0.944651,0.939816
0.944006,0.920155
0.945295,0.912419
0.939494,0.909196
0.946262,0.91113
0.946907,0.917576
0.945618,0.93337
0.946907,0.95013
0.945618,0.98075
0.948518,1.007825
0.949485,1.019428
0.951742,1.010403
0.953031,0.98623
0.951097,0.955287
0.949808,0.921122
0.950775,0.885989
0.952064,0.859881
0.953353,0.834741
0.953353,0.815724
0.953353,0.814112
0.953031,0.839253
0.955932,0.893725
0.957221,0.980106
0.955287,1.092272
0.955609,1.210563
0.9598,1.28953
0.956576,1.317572
0.959477,1.305969
0.960122,1.266646
,
2,
100,100
20-10-23,20-10-23
27:28.9,27:28.9
Volts,Volts
Time,Time
1.00E-01,1.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.961734,1.205083
0.964312,1.128372
0.963345,1.046825
0.96399,0.975915
0.964634,0.931436
0.965924,0.911452
0.968502,0.915642
0.967858,0.947874
0.967858,0.961734
0.968824,0.974949
0.968824,0.971725
0.971725,0.950775
0.96818,0.925956
0.973982,0.910163
0.976238,0.90146
0.972048,0.904683
0.974626,0.922733
0.977849,0.953031
0.979783,0.989775
0.978494,1.020073
0.981073,1.038123
0.981073,1.03909
0.982684,1.029098
0.982684,1.007825
0.983651,0.983651
0.988486,0.942072
0.986874,0.900816
0.987197,0.855047
0.991387,0.812178
0.992354,0.77898
0.990742,0.748682
0.991709,0.733855
0.995254,0.732566
0.999122,0.743525
0.998478,0.764798
0.998478,0.798641
0.997188,0.852146
1.002023,0.898237
1.00299,0.965601
1.000089,1.053594
1.005891,1.142554
1.005891,1.209596
1.006536,1.234414
1.006536,1.205728
1.007825,1.132562
1.006536,1.035866
1.012337,0.938204
1.009759,0.869228
1.013627,0.816368
1.016205,0.780591
1.017172,0.762864
1.017172,0.768021
1.017494,0.79993
1.020073,0.859559
1.020718,0.939816
1.02104,1.043924
1.020718,1.151256
1.021362,1.230546
1.022007,1.270836
1.022651,1.278572
1.022007,1.248918
1.024585,1.185099
1.024908,1.095495
1.025875,0.993965
1.024585,0.914031
1.028453,0.856658
1.026519,0.814112
1.029098,0.784137
1.028775,0.765442
1.028453,0.753839
1.026842,0.761575
1.025875,0.75674
1.024908,0.768343
1.02523,0.780914
1.026842,0.798963
1.025552,0.814757
1.023618,0.837964
1.026842,0.867939
1.026519,0.900171
1.028453,0.93627
1.025875,0.978172
1.025552,1.026197
1.024263,1.073255
1.022007,1.106132
1.022651,1.110966
1.023296,1.087115
1.024585,1.020395
1.022329,0.969469
1.022007,0.934659
1.022651,0.91113
1.02104,0.895981
1.020395,0.887923
1.018784,0.883088
1.021685,0.86665
1.017494,0.869551
1.015238,0.885344
1.018461,0.919188
1.017172,0.98623
1.017494,1.096784
1.017172,1.219587
,
2,
100,100
20-10-23,20-10-23
27:29.0,27:29.0
Volts,Volts
Time,Time
2.00E-01,2.00E-01
0.001,0.001
,
Voltage,Voltage_0
1.013949,1.313704
1.012337,1.367209
1.012337,1.383969
1.013304,1.369465
1.01266,1.316283
1.009436,1.227001
1.009114,1.113867
1.007825,0.984618
1.006536,0.889212
1.007503,0.82636
1.004602,0.787682
1.004602,0.771889
1.002668,0.772211
1.000734,0.775112
1.001056,0.790905
1.002023,0.807021
0.999122,0.821203
1.000734,0.83603
0.999445,0.856013
0.997833,0.886311
0.999122,0.913708
0.997188,0.94175
0.996544,0.957543
0.994932,0.959477
0.992998,0.949163
0.993965,0.92789
0.990742,0.901138
0.987519,0.863104
0.987841,0.833451
0.986874,0.807988
0.987519,0.786715
0.987841,0.77479
0.983651,0.770922
0.983329,0.784781
0.982362,0.800253
0.981073,0.830873
0.981717,0.873419
0.981073,0.929824
0.981073,0.9988
0.978494,1.077768
0.977527,1.138363
0.978494,1.184455
0.975593,1.211852
0.973015,1.215397
0.976882,1.186066
0.974949,1.126438
0.973659,1.047792
0.974626,0.966246
0.970114,0.898559
0.970114,0.846022
0.96818,0.807021
0.968824,0.788649
0.966891,0.785104
0.961734,0.803153
0.964312,0.844732
0.966568,0.906617
0.962378,1.005891
0.960767,1.143843
0.959477,1.286307
0.960122,1.409433
0.959477,1.494524
0.957866,1.519021
0.959155,1.472607
0.956899,1.372366
0.954965,1.242794
0.953031,1.09195
0.954965,0.944651
0.954965,0.840542
0.952709,0.761897
0.951742,0.706781
0.953031,0.682607
0.951419,0.672293
0.948196,0.688086
0.948196,0.723219
0.949163,0.775757
0.947552,0.828617
0.947552,0.892435
0.948841,0.95432
0.949808,1.002668
0.948841,1.032321
0.948196,1.034577
0.947874,1.009114
0.948196,0.96818
0.946907,0.921444
0.944006,0.881154
0.944651,0.832162
0.944006,0.801542
0.943684,0.782203
0.942717,0.773178
0.943361,0.766409
0.943039,0.771566
0.942717,0.786071
0.942072,0.805087
0.943361,0.82636
0.938204,0.849245
0.944006,0.872129
0.940461,0.90565
0.941105,0.919188
0.941428,0.936915
0.938204,0.953676
,
2,
100,100
20-10-23,20-10-23
27:29.1,27:29.1
Volts,Volts
Time,Time
3.00E-01,3.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.940138,0.96399
0.938849,0.967535
0.94175,0.963667
0.940461,0.954643
